date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:29	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%2243-61afc6a91f63d%22	https://navdemo1/robots.txt		(from )
21:15:30	57506/57506	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2015:45:30%20GMT	https://navdemo1/demo/angio/demo1/	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/index.html	(from )
21:15:31	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%2267462ebd-1c012%22	https://navdemo1/demo/angio/demo1/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://navdemo1/demo/angio/demo1/)
21:15:32	1336/1336	---MCZ	200	added ('OK')	text/css	etag:W/%2267463079-538%22	https://navdemo1/demo/angio/demo1/wp-content/plugins/angio-toolkit/options/toolkit/vendors/basicLightbox/basicLightbox.min.css?ver=6.7.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/plugins/angio-toolkit/options/toolkit/vendors/basicLightbox/basicLightbox.mind1c0.css	(from https://navdemo1/demo/angio/demo1/)
21:15:32	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jun%202025%2015:45:32%20GMT	http://fonts.googleapis.com/	/home/ki/Desktop/websites/angio/angio/fonts.googleapis.com/index.html	(from https://navdemo1/demo/angio/demo1/)
21:15:39	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%226746307e-4057%22	https://navdemo1/demo/angio/demo1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://navdemo1/demo/angio/demo1/)
21:15:39	20337/20337	---MC-	200	added ('OK')	application/rss+xml	etag:%22679a0723c14b8cf4b17318a2f9c72dfd%22	https://navdemo1/demo/angio/demo1/feed/	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/feed/index.html	(from https://navdemo1/demo/angio/demo1/)
21:15:39	5789/5789	---MC-	200	added ('OK')	application/rss+xml	etag:%22679a0723c14b8cf4b17318a2f9c72dfd%22	https://navdemo1/demo/angio/demo1/comments/feed/	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/comments/feed/index.html	(from https://navdemo1/demo/angio/demo1/)
21:15:40	67453/67453	---MCZ	200	added ('OK')	text/css	etag:W/%2267463079-1077d%22	https://navdemo1/demo/angio/demo1/wp-content/plugins/angio-toolkit/options/toolkit/css/frontend-toolkit.css?ver=6.7.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/plugins/angio-toolkit/options/toolkit/css/frontend-toolkitd1c0.css	(from https://navdemo1/demo/angio/demo1/)
21:15:42	17688/17688	---MCZ	200	added ('OK')	text/css	etag:W/%226746309d-4518%22	https://navdemo1/demo/angio/demo1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.4.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutea26.css	(from https://navdemo1/demo/angio/demo1/)
21:15:44	82651/82651	---MCZ	200	added ('OK')	text/css	etag:W/%226746309d-142db%22	https://navdemo1/demo/angio/demo1/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.4.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/plugins/woocommerce/assets/css/woocommerceea26.css	(from https://navdemo1/demo/angio/demo1/)
21:15:44	1130/1130	---MC-	200	added ('OK')	text/css	date:Tue,%2024%20Jun%202025%2015:45:44%20GMT	http://fonts.googleapis.com/css?family=Inconsolata%3Awght%40400%3B700%7CChivo%3Aital%2Cwght%400%2C300%2C400%3B0%2C700%3B1%2C400%3B1%2C700&display=swap&ver=1.0.0	/home/ki/Desktop/websites/angio/angio/fonts.googleapis.com/css5bec.css	(from https://navdemo1/demo/angio/demo1/)
21:15:46	12116/12116	---MCZ	200	added ('OK')	text/css	etag:W/%226746306e-2f54%22	https://navdemo1/demo/angio/demo1/wp-content/themes/angio/css/icomoon.css?ver=6.7.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/themes/angio/css/icomoond1c0.css	(from https://navdemo1/demo/angio/demo1/)
21:15:48	143591/143591	---MCZ	200	added ('OK')	text/css	etag:W/%226746306e-230e7%22	https://navdemo1/demo/angio/demo1/wp-content/themes/angio/style.css?ver=6.7.2	/home/ki/Desktop/websites/angio/angio/navdemo1/demo/angio/demo1/wp-content/themes/angio/styled1c0.css	(from https://navdemo1/demo/angio/demo1/)
